Name,Mate,Degree,Description,Continuity,Combo,Type
Fortified,Homebound,Major,-X to tests. X = the number of scenes that have passed since you spent 4 or more hours (world time) adding a lock or booby trap to your home.,,,Shock
Nothing is Real,Melted Perceptions,Major,"Margin on failed Composure tests increases by 1.
Discard as recipient of Difficulty 5 First Aid success.",,,Shock
“Does This Look Weird?”,Body Horror,Minor,"Now and at the beginning of each session, roll a die. 1-2: lose 1 Composure. 3-4: lose 1 Health.
Discard by finding the antidote, treatment, or counterspell to your condition.",,,Shock
Body Horror,“Does This Look Weird?”,Major,"Now and at each interval, roll a die. 1-2: lose 2 Composure. 3-4: lose 2 Health.
Discard by finding the antidote, treatment, or counterspell to your condition.
If your Health is at 0 at end of scenario, this card gains the Continuity tag.",,,Shock
Overconfident,Hideous Laughter,Minor,"Margin of your next Fighting failure increases by 2.
Then discard.",,,Shock
Hideous Laughter,Overconfident,Major,"At the start of any fight, roll a die. Odd: -1 to Fighting. Even: -1 to everyone’s Fighting.
At end of fight, roll a die. Even: discard.",,,Shock
Unearthly Sounds,Auditory Hallucination,Minor,"-1 to Focus tests.
When you correctly identify the origin of the sounds, roll a die. Even: discard.",,,Shock
Auditory Hallucination,Unearthly Sounds,Major,"-1 to Focus tests.
When you correctly identify the origin of the sounds, spend a Push and roll a die. Even: discard.",,,Shock
Proprioception Dysmorphia,Identity Decentralization,Minor,"Margins of your failed tests increase by 1. 
Discard the next time you take an Injury card.",,,Shock
Identity Decentralization,Proprioception Dysmorphia,Major,"Margins of your failed tests increase by 2.
When you take an Injury card, roll a die. Even: discard.",,,Shock
Cut Off,On Your Own,Minor,"Once per session, the GM may require you to undertake a foolhardy action in search of a wireless signal.
Discard when your access to a reliable, ongoing signal resumes.",,,Shock
On Your Own,Cut Off,Major,"Composure drops by 1 at the end of each interval.
Discard when your access to a reliable, ongoing signal resumes.",,,Shock
Sleepless Nights,You Went Viral,Minor,"Focus tests take a penalty equal to the number of mornings that have passed since you got this card (world time).
After shutting down the story bringing you notoriety, roll a die each world-time morning. Even: discard.",,,Shock
You Went Viral,Sleepless Nights,Major,"Lose 2 Composure and 2 Health each morning (world time).
After shutting down the story bringing you notoriety, roll a die each world-time morning. 5 or 6: discard.",,,Shock
Lab Coat Unease,Lab Coat Terror,Minor,"When you enter a hospital, doctor’s office, or medical facility and have 1 or more Pushes, lose 1 Push.
Discard by putting your experimenter permanently out of business.",,,Shock
Lab Coat Terror,Lab Coat Unease,Major,"When you enter a hospital, doctor’s office, or medical facility, -1 Composure until end of scenario.
Discard by putting your experimenter permanently out of business.
Gains Continuity tag if in hand at end of scenario.",,,Shock
Reintegration Regret,Reintegration Remorse,Minor,"-1 to Focus tests.
Discard when you stop someone from damaging a GMC’s reintegration.",,,Shock
Reintegration Remorse,Reintegration Regret,Major,"-1 to Focus and Presence tests.
Discard when you pay a price to stop someone from damaging a GMC’s reintegration.",,,Shock
Pack Rat,My Collection Will Never Betray Me,Minor,"All characters take -1 to Preparedness tests.
Roll a die on any character’s Preparedness failure. Odd: everyone can tell that you tossed out the desired item to make room for a useless souvenir from a previous scene.
Discard by ridding yourself of an item you established in a previous scene as being important to you and spending 3 Composure.
If still in hand at end of scenario, trade for “My Collection Will Never Betray Me.”",,,Shock
My Collection Will Never Betray Me,Pack Rat,Major,"All characters take -1 to Preparedness tests.
Roll a die on any character’s Preparedness failure. Odd: everyone can tell that you tossed out the desired item to make room for a useless souvenir from a previous scene.
If your Composure exceeds 2 at end of scenario, trade for “Pack Rat.”",,,Shock
Psi Probe,In Your Mind,Minor,"Roll a die. 1-2: X=1. 3-4: X=2 5-6: X=3. Lose X Composure points.
When you figure out the plans of the being that invaded your mind, discard this card and regain X Composure.",,,Shock
In Your Mind,Psi Probe,Major,"Roll a die: lose Composure points equal to the result.
When you foil the plans of the being that invaded your mind, discard this card and regain the number of Composure points you lost when you gained this card.",,,Shock
Stirred Up,Violent Side,Minor," -1 to Focus tests. 
Discard by drinking or drugging yourself into a stupor.",,,Shock
Violent Side,Stirred Up,Major,"-1 to Focus tests. 
Discard by sucker-punching someone who has nothing to do with the investigation.",,,Shock
Trending Trauma,Omnipresent Horror,Minor,"-1 to Focus tests.
At end of each interval, roll a die. Odd: lose 1 Composure. Even: discard.
Discard when you take an Injury card.",,,Shock
Omnipresent Horror,Trending Trauma,Major,"-1 to Focus tests. 
You can’t refresh Composure.
Discard when you take an Injury card.",,,Shock
This Note’s for Grue,Murder Music,Minor,"After hearing the song again, -1 to Presence tests until end of scenario.
If that penalty is in effect at end of scenario, and the group solved the mystery, discard.",Continuity,,Shock
Murder Music,This Note’s for Grue,Major,"After hearing the song again, -1 to tests until end of scenario.
If that penalty is in effect at end of scenario, and the group solved the mystery, roll a die. Even: discard.",Continuity,,Shock
This One’s on You,Through the Looking Glass,Minor,"Lose 3 Composure. 
When you take a risk to advance the investigation, gain 4 Composure and discard.",,,Shock
Through the Looking Glass,This One’s on You,Major,"-1 to Focus tests. 
When you take a risk to advance your investigation, roll a die. Even: discard.",,,Shock
Every Breath You Take,Every Move You Make,Minor,"You may spend Composure points on Sense Trouble tests—and must spend a minimum of 1 per test, so long as your Composure exceeds 0. 
Discard when you know you’re no longer being watched.",,,Shock
Every Move You Make,Every Breath You Take,Major,"Lose 3 Composure every time anyone tests Sense Trouble.
Discard when you know you’re no longer being watched.",,,Shock
Primal Outrage,Primal Bloodlust,Minor,"You may spend Composure or Health points on Fighting tests against Rampagers. If you choose to do this, “Primal Outrage” becomes a Continuity card.",,,Shock
Primal Bloodlust,Primal Outrage,Major,"-2 Fighting against Rampagers and Carcosans when the objective ≠ Kill. 
Discard when you take part in a winning fight against a Rampager or Carcosan when the objective = Kill.",,,Shock
Eerie Object,Cursed Item,Minor,"Lose 2 Health, Composure, and Athletics each time the distance between you and the object exceeds 2 m.
Horror mode: If the item is destroyed, you die.
Occult Adventure mode: If the item is destroyed, take Injury card “Cardiac Arrest.”",,,Shock
Cursed Item,Eerie Object,Major,"All other PCs take -1 to tests. You gain +1 to tests. 
Horror mode: If the item is destroyed, you die.
Occult Adventure mode: If the item is destroyed, take Injury card “Cardiac Arrest.”
If another PC tries to take the item from you, roll a die. Odd: you attack them, giving them the Paris card “Shot” or “Slashed Throat” (your choice). Even: discard. The other PC gains the item and makes a Difficulty 4 Composure test, gaining this card on a failure and “Eerie Object” on a success.",,,Shock
Hyper-Vigilant,Edgy,Major,"+1 to Sense Trouble tests. 
Lose 1 Health and 1 Composure on any Sense Trouble success.
Discard when something bad happens to you, exactly like you said it would.",,,Shock
Spotlight Hog,Messiah Complex,Minor,"-1 to Focus tests.
At the end of any interval, take an action calling attention to yourself. Roll a die. Even: discard.",,,Shock
Messiah Complex,Spotlight Hog,Major,"Once per session, you may gain +3 to any non-Composure test. The player to your left loses 3 points from their highest General pool. If pools are tied for first, you pick which one.
If the result of your test is even, discard this card.",,,Shock
Raw Nerve,Under a Microscope,Minor,"-2 to Composure tests that won’t give you a Shock card if you fail.
Discard when you fail such a test.",,,Shock
Under a Microscope,Raw Nerve,Major,Roll a die when discarding any other Shock card. Odd: that Shock returns to your hand.,,,Shock
Invaded,Defiled,Minor,"-1 to tests.
If the intruder is inhuman, discard by finding and killing it.
If the intruder is human, discard by contributing to the intruder’s arrest and imprisonment.",,,Shock
Defiled,Invaded,Major,"-1 to tests.
If the intruder is inhuman, discard by finding and killing it.
If the intruder is human, roll a die when you contribute to the intruder’s arrest and imprisonment. Even: discard.
If still in hand at end of scenario, gains Continuity tag.",,,Shock
Scrub the System,They’re in Your Auxiliary Brain,Minor,"-2 to Presence tests and -1 to Focus tests. 
If your phone is affected, discard this card eight world hours after you restore to factory settings. If it’s your computer, discard after you have everything properly installed again after a ground-up reinstall.",,,Shock
They’re in Your Auxiliary Brain,Scrub the System,Major,"-2 to Presence tests and -1 to Focus tests. 
Discard by permanently destroying the affected device and all devices you own that it backed up to, while alone and in a remote location.",,,Shock
Coulda Been Hurt,Coulda Been Killed,Minor,"Roll a die when discarding any other Shock card. On a result of 1 0r 2, that Shock returns to your hand. 
Discard this card by tracking down and confronting the guilty party in meat space.",,,Shock
Coulda Been Killed,Coulda Been Hurt,Major,"Pay 3 Composure when discarding any other Shock card. If you can’t pay, you can’t discard.
Discard this card by tracking down and confronting the guilty party in meat space.",,,Shock
Nagging Guilt,Gnawing Guilt,Minor,-1 Fighting tests vs. Rampagers and Carcosans.,,,Shock
Gnawing Guilt,Nagging Guilt,Major,-1 Fighting tests vs. Rampagers and Carcosans.,Continuity,,Shock
Déjà Who?,Me Again,Minor,"Roll a die. Even: gain Composure equal to the result. Odd: lose a total of 5 points from General pools, as chosen by the GM, and discard this card at next interval.
After any 1-hour increment (game time), you may choose to repeat the above effect.
At end of scenario, you may declare this a Continuity card.",,,Shock
Me Again,Déjà Who?,Major,"-1 to Presence tests if the current scenario has yet to reveal information regarding your strange cosmic significance. +1 to Presence tests if it has.
Any time you learn a new fact about your cosmic significance you may choose to discard this card.",,,Shock
Blowback,Unforgivable,Minor,Roll a die. Odd: lose 1 point from each ability pool. Even: lose 1 Push.,,,Shock
Unforgivable,Blowback,Major,"Margins of your failed tests increase by 1.
When you are drunk or intoxicated, discard this card. When you sober up, you regain this card.",Continuity,,Shock
Premonition,Weird Insight,Minor,"Lose 3 Composure.
When you gain your next Shock card, refresh 3 Composure and discard this card.",,,Shock
Weird Insight,Premonition,Major,"Spend 3 Composure to allow another player to discard a non-Continuity Shock card.
Each time you do this, roll a die. Odd: this becomes a Continuity card.",,,Shock
Blood Debt,Fratricide,Minor,"-1 to Focus tests. 
Discard by convincingly discharging your debt to the slain.",Continuity,,Shock
Fratricide,Blood Debt,Major,"Counts as two Shock cards. After you convincingly discharge your debt to the slain, counts as a single Shock card.",Continuity,,Shock
I Should Have Prevented This,Spiral into Violence,Minor,"At the end of scenario in which you acquired this card, make a Difficulty 6 Composure test. Success: discard. Failure: this becomes a Continuity card.",,,Shock
Spiral into Violence,I Should Have Prevented This,Major,-1 to Focus tests. ,Continuity,,Shock
"Well, That Happened",Lateral Suicide,Minor,"After a Fighting success, roll a die. Odd: treat as a Fighting failure with a margin of 3, and discard this card.",,,Shock
Lateral Suicide,"Well, That Happened",Major,"You may spend 6 Composure to gain +1 to all tests until end of session.
When you gain new information regarding your strange cosmic significance, roll a die. Odd: discard this card.
At end of scenario, you may declare this a Continuity card.",,,Shock
Intoxicating Gaze,"Throttled
[Injury]",Major,"Each time you attempt to act against the interest of the foe who hypnotized you, you must succeed at a Difficulty 6 Composure test to proceed. 
Discard when you are sure this foe has been destroyed.",,,Shock
Red Jack’s Whisper,Red Jack,Minor,"-1 to Focus. -2 to Fighting for objectives other than Kill.
Discard when the blade possesses a new host.",,,Shock
Red Jack,Red Jack’s Whisper,Major,"If you have less than 3 Composure at end of scenario, your character leaves play, becoming the latest vampiric incarnation of Jack the Ripper. This also happens if your character leaves play in any other way. This GMC version of your character regains Jack’s knife by means that may or may not be apparent to the group right away.",Continuity,,Shock
Occult Dabbler,Warped Ethos,Minor,"Users of efficacious magic can identify you as one of their own.
Counts as a Shock card only if you used magic during the current scenario.
At end of scenario in which you use no magic, roll a die. Even: discard.",Continuity,,Shock
Warped Ethos,Occult Dabbler,Major,"When you meet a more powerful user of efficacious magic, roll a die. Odd: you reveal a secret to this individual, or lend some other assistance.
If that assistance brings harm to the group, roll a die. Even: discard. Odd: trade for “Occult Dabbler.”",,,Shock
Nullify,Ocean Game,Minor,"You can’t attack the entity who gave you this Shock.
Counts as a Shock card only if you have met or communicated with the entity during the current scenario.
Discard when you’re sure the entity has been destroyed.",Continuity,,Shock
Ocean Game,Nullify,Major,"-2 to Focus. You believe yourself to have slipped into an inescapable nightmare reality, and behave accordingly.
On a Difficulty 6 Composure test, which you can take whenever you gain a core clue, trade for “Nullify.”",,,Shock
Place of Sorrow,Residual Grief,Minor,"-x to Fighting tests vs. Carcosans, Invasives and Rampagers.
X starts at 1 and increases by 1 at the end of each scene in which the terrible events tied to this place are mentioned. Discard when you fight the foe that gave you this card and meet or beat its Difficulty during a combat.",,,Shock
Residual Grief,Place of Sorrow,Major,"-1 to Fighting tests. Discard when you fight the foe that gave you this Shock and meet or beat its Difficulty during a combat. At the beginning of an episode, spend a Push and roll a die. Even: discard.",Continuity,,Shock
